stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
3646,3646,"WB 112 AV NW @ 110 AV NW",,  51.154255,-114.190724,,,0
3647,3647,"WB 112 AV NW @ 76 ST NW",,  51.154293,-114.196876,,,0
3648,3648,"WB Quarry Park BV @ Quarry LK SE",,  50.959531,-114.013682,,,0
3650,3650,"Canyon Meadows Stn (NB Lake Fraser Dr)",,  50.937020,-114.066841,,,0
3651,3651,"Canyon Meadows Stn (SB Lake Fraser Dr)",,  50.936489,-114.066660,,,0
3652,3652,"EB 90 AV SE @ 38 ST SE",,  50.972177,-113.978389,,,0
3670,3670,"EB 194 AV SE @ Walden GA SE",,  50.877187,-114.035438,,,0
3678,3678,"SB Symons Valley RD @ Kincora Glen RD NW",,  51.165208,-114.130157,,,0
3679,3679,"SB Hamptons DR @ Hampstead GV NW",,  51.142929,-114.131267,,,0
3680,3680,"EB Hamptons DR @ Hampstead TC NW",,  51.144698,-114.133635,,,0
3681,3681,"EB Hamptons DR @ Hampstead RI NW",,  51.144619,-114.136201,,,0
3682,3682,"EB Hamptons DR @ Hamptons LI NW",,  51.145177,-114.139221,,,0
3683,3683,"EB Hamptons DR @ Hamptons HT NW",,  51.147655,-114.143310,,,0
3684,3684,"NB Hamptons DR @ Hamptons RI NW",,  51.147452,-114.149702,,,0
3685,3685,"NB Hamptons DR @ Hamptons BV NW",,  51.144500,-114.151188,,,0
3686,3686,"NB Hamptons BV @ Hamptons TC NW",,  51.143916,-114.147428,,,0
3687,3687,"NB  Hamptons BV @ Hampstead WY NW",,  51.141262,-114.144830,,,0
3688,3688,"SB Evanston VW @ Evansbrooke WY NW",,  51.166567,-114.121570,,,0
3689,3689,"EB Evanston VW @ Evansbrooke LI NW",,  51.164535,-114.119992,,,0
3690,3690,"EB Evanston VW @ Evanston RI NW",,  51.164264,-114.117595,,,0
3691,3691,"EB Evanston VW @ Evansmeade WY NW",,  51.164742,-114.114022,,,0
3692,3692,"NB Evanston VW @ Evansford RD NW",,  51.167153,-114.112575,,,0
3693,3693,"NB Symons Valley PY @ E. Leg Evanston VW NW",,  51.168707,-114.112086,,,0
3694,3694,"NB Symons Valley PY @ Evansford CL NW",,  51.170977,-114.109380,,,0
3698,3698,"SB Evanspark BV @ Evanston DR NW",,  51.173301,-114.118112,,,0
3699,3699,"SB Evanspark BV @ Evansview GA NW",,  51.170095,-114.118084,,,0
3700,3700,"WB Symons Valley PY @ Evanspark BV NW",,  51.168259,-114.118847,,,0
3701,3701,"SB Cortina DR @ Cortina WY SW",,  51.033659,-114.220690,,,0
3702,3702,"EB St Moritz DR @ Val Gardena PL SW",,  51.032261,-114.214483,,,0
3703,3703,"NB 77 ST SW @ Wentworth DR",,  51.054582,-114.199285,,,0
3704,3704,"NB 77 ST SW @ 9 AV SW",,  51.059809,-114.199312,,,0
3705,3705,"NB 77 ST SW @ Weston DR",,  51.063513,-114.199260,,,0
3706,3706,"EB Old Banff Coach RD @ 77 ST SW",,  51.066833,-114.198160,,,0
3707,3707,"SB 77 ST SW @ Weston DR",,  51.063063,-114.199601,,,0
3708,3708,"SB 77 ST SW @ 9 AV SW",,  51.059438,-114.199606,,,0
3709,3709,"SB 77 ST SW @ 10 AV SW",,  51.057622,-114.199630,,,0
3710,3710,"NB 77 ST SW @ 10 AV SW",,  51.058045,-114.199262,,,0
3711,3711,"Westbrook LRT Station",,  51.040415,-114.135588,,,0
3713,3713,"NB 85 ST SW @ Strathlea AV",,  51.049153,-114.210701,,,0
3714,3714,"NB 85 ST SW @ Wentworth DR",,  51.057240,-114.210743,,,0
3715,3715,"NB 85 ST SW @ 8 AV SW",,  51.063482,-114.210753,,,0
3716,3716,"NB 85 ST SW @ 9 AV SW",,  51.059930,-114.210766,,,0
3717,3717,"EB Old Banff Coach RD @ 89 ST SW",,  51.067002,-114.215780,,,0
3718,3718,"SB 85 ST SW @ Old Banff Coach RD",,  51.066516,-114.211213,,,0
3719,3719,"SB 85 ST SW  @ 8 AVE SW",,  51.063115,-114.211174,,,0
3720,3720,"SB 85 ST SW @ 14 AV SW",,  51.044964,-114.211181,,,0
3721,3721,"SB 85 ST SW @ Aspen Summit BV",,  51.043012,-114.211184,,,0
